BankID,AdminUserID,Name,City,Address,ContactNo
36,15,Eidhi Foundation,Kedungbanteng Krajan,639 Dapin Center,478-190-4371
37,81,City Blood Bank,Meiqi,61778 Sachtjen Center,876-520-0613
38,70,"Shaukat Khanam""""",Hamilton,4 Lake View Drive,419-428-0021
39,76,Eidhi Foundation,Jun’an,62980 Fuller Pass,809-316-3175
40,100,"Shaukat Khanam""""",Nis’oni,105 Bluejay Terrace,811-533-6376
41,93,"Shaukat Khanam""""",Pagersari,8540 South Alley,410-924-8797
42,61,Fatimid Foundation,Pyay,8 Eagan Avenue,800-239-5135
43,19,Eidhi Foundation,El Refugio,38 Ludington Place,824-357-8419
44,35,Liaquat Blood Bank,Ganyi,45805 Mesta Circle,462-521-1694
45,72,Husaini Foundation,La Concordia,1873 Lighthouse Bay Place,116-287-2446
46,59,"Shaukat Khanam""""",Novyye Kuz’minki,745 Main Way,365-527-7934
47,23,Liaquat Blood Bank,Famões,108 Birchwood Hill,785-176-3821
48,52,Husaini Foundation,Victoria,946 1st Trail,586-938-5216
49,29,"Shaukat Khanam""""",Xiabuji,364 Cardinal Terrace,327-297-7031
50,33,Al-Shifa Blood Center,Dalupaon,95604 Commercial Alley,244-335-8139
51,85,Eidhi Foundation,Karangasem,92763 Elka Drive,607-779-7598
52,57,Fatimid Foundation,Neebing,58 Schiller Drive,845-995-5875
53,12,City Blood Bank,Independencia,99016 American Center,114-341-0101
54,62,Eidhi Foundation,Datangzhuang,81954 Ramsey Hill,540-894-8308
55,42,Eidhi Foundation,Gaoshi,0 Butternut Lane,619-651-7351
56,57,Liaquat Blood Bank,Bungoma,832 Acker Hill,535-596-4049
57,81,Liaquat Blood Bank,Kabulusan,6 Farwell Place,388-213-8777
58,1,Al-Shifa Blood Center,Sanchahe,12113 Shoshone Street,202-778-7938
59,70,Husaini Foundation,Koungou,082 Commercial Place,109-193-8723
60,69,"Shaukat Khanam""""",Sindang,9 Sheridan Circle,688-821-1901
61,3,Husaini Foundation,Los Lotes,7777 Dayton Pass,365-139-3727
62,97,Al-Shifa Blood Center,Jiujie,1 Eastwood Circle,674-911-8671
63,72,Husaini Foundation,Saint-Lô,1659 Tennessee Place,531-198-2526
64,57,City Blood Bank,Villasis,79943 Pierstorff Court,318-657-1296
65,43,Fatimid Foundation,Areguá,21 Hanson Junction,597-970-7885
66,43,Eidhi Foundation,Barbudo,5 Prentice Junction,651-793-3352
67,83,Eidhi Foundation,Andorinha,12 Prentice Court,354-309-5655
68,97,Husaini Foundation,Denton,716 Michigan Court,682-800-2849
69,51,Fatimid Foundation,Chiguata,80 Fulton Plaza,677-234-6361
70,88,Eidhi Foundation,Changzhou,811 Maywood Plaza,102-533-6338
71,23,Al-Shifa Blood Center,Anding,40 Walton Park,725-901-4498
72,20,Husaini Foundation,Wierzawice,91 Gina Pass,949-503-5804
73,17,Fatimid Foundation,Thanh Ba,2710 Linden Parkway,400-397-2518
74,74,Al-Shifa Blood Center,Monte Patria,325 Briar Crest Junction,269-365-2388
75,43,"Shaukat Khanam""""",Kendaruan,71 Victoria Drive,837-971-9159
76,58,"Shaukat Khanam""""",Batarasa,45702 Elmside Plaza,301-380-3139
77,30,Liaquat Blood Bank,Qīr Moāv,36738 Judy Trail,588-237-6036
78,8,Fatimid Foundation,Saskylakh,23 Doe Crossing Court,818-399-6603
79,17,Fatimid Foundation,Phon Charoen,9169 Iowa Lane,333-344-3704
80,8,City Blood Bank,Livadiya,539 Kensington Court,899-204-8824
81,15,Liaquat Blood Bank,Nglengkong,3020 Declaration Center,834-196-2636
82,82,Eidhi Foundation,Nicola Town,680 8th Plaza,332-717-3700
83,2,Husaini Foundation,Tintafor,0570 Waubesa Lane,133-471-4657
84,41,"Shaukat Khanam""""",Erbil,121 Texas Point,951-312-8130
85,37,"Shaukat Khanam""""",Bukal,7 Fordem Road,430-761-4667
86,48,Fatimid Foundation,Dingdian,89596 Homewood Alley,857-313-6346
87,27,Al-Shifa Blood Center,Rudnyy,13814 Nevada Avenue,500-543-8523
88,67,Al-Shifa Blood Center,Zhongguanyi,5961 Nevada Point,978-109-7737
89,29,Fatimid Foundation,Povarovo,4042 Paget Alley,816-296-4646
90,75,Liaquat Blood Bank,Stockholm,1541 Stephen Street,570-776-1190
91,28,Al-Shifa Blood Center,Kulotino,6 Lakewood Gardens Alley,857-251-4998
92,98,Al-Shifa Blood Center,Brumadinho,7 Meadow Vale Road,768-332-4399
93,48,City Blood Bank,Presidencia Roque Sáenz Peña,332 Scott Court,523-320-2141
94,11,Husaini Foundation,Yuty,6774 Dorton Place,255-263-8219
95,74,"Shaukat Khanam""""",Wąbrzeźno,50397 Melrose Terrace,410-208-9173
96,40,Liaquat Blood Bank,Jangdam,8 Corscot Trail,336-614-5077
97,14,Fatimid Foundation,Bozoum,5 Nevada Plaza,317-179-9906
98,94,City Blood Bank,Koblain,18343 Fairview Crossing,590-340-1762
99,74,City Blood Bank,Tunja,366 Meadow Vale Circle,785-121-6957
100,84,Eidhi Foundation,Urpay,0623 Vidon Center,895-172-8724
