HospitalID,AdminUserID,Name,City,Address,ContactNo
73,76,NICVD,Oliveirinha,7330 Buhler Parkway,246-409-7290
74,67,Hayatabad Medical Complex,Montilla,220 Fremont Avenue,419-627-2866
75,42,Hayatabad Medical Complex,General Pico,6 Emmet Pass,704-637-5199
76,90,Jinnah Hospital,Paracuru,92441 Fair Oaks Court,279-174-9731
77,17,Aga Khan Hospital,Orléans,8 Anzinger Way,445-411-2888
78,30,Rehman Medical Centre,Kuantan,03 Northland Trail,982-522-2931
79,3,Jinnah Hospital,Huotong,76 Reinke Terrace,254-678-9143
80,37,Jinnah Hospital,Karasgede,24 Nancy Alley,885-899-8790
81,78,Rehman Medical Centre,Firmat,211 Darwin Court,645-680-0006
82,81,Aga Khan Hospital,Jeblog Satu,2 1st Place,596-672-6894
83,36,Hayatabad Medical Complex,Bestöbe,8 International Lane,381-665-0329
84,62,Aga Khan Hospital,Paris 09,9 Maple Pass,876-944-4856
85,93,Rehman Medical Centre,Weyburn,34361 Hanover Terrace,694-496-1884
86,59,Hayatabad Medical Complex,Pampierstad,64 Scofield Hill,963-563-1304
87,66,Rehman Medical Centre,Ūdalah,9 Dorton Plaza,416-282-0405
88,71,Rehman Medical Centre,Awilega,8 Oriole Hill,133-879-5616
89,29,Jinnah Hospital,Mafra,09 Bashford Drive,652-908-3672
90,49,Aga Khan Hospital,Kharabali,962 Northview Lane,343-768-0591
91,40,Hayatabad Medical Complex,Yaroslavskiy,1 Old Shore Junction,989-501-2033
92,85,Aga Khan Hospital,Yara,8365 Jenna Hill,267-314-7116
93,81,Aga Khan Hospital,Kamensk-Shakhtinskiy,38951 Summit Junction,598-825-6067
94,99,Hayatabad Medical Complex,Pizarrete,49943 Kinsman Point,590-734-3580
95,37,Jinnah Hospital,Guangming,26036 Cottonwood Crossing,408-436-4105
96,62,Aga Khan Hospital,Sarlat-la-Canéda,86073 Cambridge Court,409-185-7660
97,85,Hayatabad Medical Complex,Atlantis,8 Sunnyside Point,923-772-8017
98,70,NICVD,Jaruco,261 Monica Hill,740-552-9299
99,38,Rehman Medical Centre,Jiancha,7940 Johnson Terrace,225-526-8550
100,26,Hayatabad Medical Complex,Dongtuan,6 Manitowish Point,256-598-6327
